"category","target_path","source_path","extension","bytes","sha256"
"animations/effects","assets/animations/effects/fire2.json","game2/resource/assets/movie/fire2.json","json","605","9a5711bcee87c8f8ddaa0960e25314504b65bc30c753ac7ba4fdf84be0de3a81"
"animations/effects","assets/animations/effects/fire2.png","game2/resource/assets/movie/fire2.png","png","6287","6e51352afadcf8da0c2f961d14ad7f1e6aa6a27b2cea087dedceb08d88d2f2f5"
"animations/effects","assets/animations/effects/hudun.json","game2/resource/assets/movie/hudun.json","json","685","f035f18fd0856b1db7c84da580b367bfd4622654b1e200e7a0bf36da922f648f"
"animations/effects","assets/animations/effects/hudun.png","game2/resource/assets/movie/hudun.png","png","45255","2f1c8df5772723f7de43306cc78d63a0935512da888364af7e0b9b6e53f56099"
"animations/effects","assets/animations/effects/huojian.json","game2/resource/assets/movie/huojian.json","json","392","a9bc14d24db74a081aaa81655768fd9fd1c835b3b06f8b17af951b1f4592fdb1"
"animations/effects","assets/animations/effects/huojian.png","game2/resource/assets/movie/huojian.png","png","28046","b23d9e54228331db317edf6b91ee2fa921b699e675514377ed9d8cfec622d064"
"animations/effects","assets/animations/effects/jiaxue.json","game2/resource/assets/movie/jiaxue.json","json","879","31c497b1c67d5c3486e5ec1ff0163eec7af202b20bf9a17520d30183772b181b"
"animations/effects","assets/animations/effects/jiaxue.png","game2/resource/assets/movie/jiaxue.png","png","15512","d61c04583482725014c9d57535fbd26289dfeb3f027cf227aa1c4394d86dbd73"
"animations/enemies","assets/animations/enemies/dagui.json","game2/resource/assets/movie/dagui.json","json","403","eb8b1c50057a0cefca75dc50eee4a0cfe26839641709665a748bdba85c432e7f"
"animations/enemies","assets/animations/enemies/dagui.png","game2/resource/assets/movie/dagui.png","png","4707","904fc9640d20ce6cf461701d3f79ab2005572adc7f5b2a0b2d4055f58e03bfee"
"animations/enemies","assets/animations/enemies/emo.json","game2/resource/assets/movie/emo.json","json","820","66ec61447edaa35d05ea15f83ebbd438f0b3c15acfc7eb7b9d03a7625aaed267"
