"id","movetype","sky","img","speed"
"1","1","0","hama","1"
"2","1","0","yazi","1.5"
"3","1","0","eyubaobao","2"
"4","1","0","eyu","2"
"5","1","0","xiaogui","4"
"6","1","0","dagui","3"
"7","1","0","qiangdao","5"
"8","1","0","qishi","6"
"9","1","80","feiniao","2"
"11","2","0","hama","1"
"12","2","0","yazi","1.5"
"13","2","0","eyubaobao","2"
"14","2","0","eyu","3"
"15","2","0","xiaogui","4"
"16","2","0","dagui","3"
"17","2","0","qiangdao","4"
"18","2","0","qishi","6"
"19","2","80","feiniao","2"
"21","1","0","hama","2"
"22","1","0","yazi","2.5"
"23","1","0","eyubaobao","3"
"24","1","0","eyu","3"
"25","1","0","xiaogui","5"
"26","1","0","dagui","4"
"27","1","0","qiangdao","6"
"28","1","0","qishi","7"
"29","1","80","feiniao","3"
"31","2","0","hama","2"
"32","2","0","yazi","2.5"
"33","2","0","eyubaobao","3"
"34","2","0","eyu","4"
"35","2","0","xiaogui","5"
"36","2","0","dagui","4"
"37","2","0","qiangdao","5"
"38","2","0","qishi","6"
"39","2","80","feiniao","3"
