"id","shuzhi1","shuzhi1dir","shuzhi2","shuzhi2dir","guaiwu1","guaiwu2","duanshuzhi","guaiwu1x","guaiwu2x"
"1","10","0","0","0","0","0","0","0","0"
"2","24","0","0","0","0","0","0","0","0"
"3","11","0","0","0","0","0","0","0","0"
"4","12","0","0","0","0","0","0","0","0"
"5","16","0","0","0","0","0","0","0","0"
"6","17","0","0","0","0","0","0","0","0"
"7","20","0","0","0","0","0","0","0","0"
"8","113","0","0","0","0","0","0","0","0"
"9","21","0","0","0","0","0","0","0","0"
"10","22","0","23","0","0","0","0","0","0"
"11","21","1","0","0","0","0","0","0","0"
"12","22","1","23","1","0","0","0","0","0"
"13","21","0","0","0","9","0","0","200","0"
"14","22","0","23","0","9","0","0","200","0"
"15","21","1","0","0","9","0","0","300","0"
"16","22","1","23","1","9","0","0","300","0"
"17","21","0","0","0","9","9","0","200","240"
"18","22","0","23","0","9","9","0","200","240"
"19","21","1","0","0","9","9","0","180","460"
"20","22","1","23","1","9","9","0","180","460"
"21","21","0","0","0","29","0","0","200","0"
"22","22","0","23","0","29","0","0","200","0"
"23","21","1","0","0","29","0","0","300","0"
"24","22","1","23","1","29","0","0","300","0"
"25","21","0","0","0","29","29","0","200","240"
"26","22","0","23","0","29","29","0","200","240"
"27","21","1","0","0","29","29","0","180","460"
"28","22","1","23","1","29","29","0","180","460"
"29","113","0","0","0","11","0","0","200","0"
"30","113","0","0","0","11","0","0","320","0"
"31","113","0","0","0","11","0","0","440","0"
"32","12","0","0","0","12","0","0","200","0"
"33","12","0","0","0","12","0","0","320","0"
"34","12","0","0","0","12","0","0","440","0"
"35","113","0","0","0","31","0","0","200","0"
"36","113","0","0","0","31","0","0","320","0"
"37","113","0","0","0","31","0","0","440","0"
"38","12","0","0","0","32","0","0","200","0"
"39","12","0","0","0","32","0","0","320","0"
"40","12","0","0","0","32","0","0","440","0"
"41","11","0","0","0","16","0","0","200","0"
"42","11","0","0","0","16","0","0","320","0"
"43","11","0","0","0","16","0","0","440","0"
"44","11","0","0","0","36","0","0","200","0"
"45","11","0","0","0","36","0","0","320","0"
"46","11","0","0","0","36","0","0","440","0"
"47","11","0","0","0","6","6","0","200","240"
"48","11","0","0","0","6","6","0","440","400"
"49","11","0","0","0","6","6","0","440","200"
"50","11","0","0","0","15","0","0","200","0"
"51","11","0","0","0","15","0","0","320","0"
"52","11","0","0","0","15","0","0","440","0"
"53","11","0","0","0","35","0","0","200","0"
"54","11","0","0","0","35","0","0","320","0"
"55","11","0","0","0","35","0","0","440","0"
"56","11","0","0","0","5","5","0","200","240"
"57","11","0","0","0","5","5","0","440","400"
"58","11","0","0","0","5","5","0","440","200"
"59","16","0","0","0","3","4","0","200","240"
"60","16","0","0","0","3","4","0","440","200"
"61","16","0","0","0","23","24","0","440","400"
"62","16","0","0","0","23","24","0","440","200"
"63","17","0","0","0","7","7","0","400","440"
"64","17","0","0","0","8","8","0","400","440"
"65","17","0","0","0","7","0","0","200","0"
"66","17","0","0","0","8","0","0","200","0"
"67","17","0","0","0","27","27","0","200","240"
"68","17","0","0","0","28","28","0","200","240"
"69","17","0","0","0","27","0","0","200","0"
"70","17","0","0","0","28","0","0","200","0"
"71","24","0","0","0","0","0","0","0","0"
